Company_Name,Company_Rating,Company_Review,Company_Type,Company_Head_Quarter,Company_Old,Company_Employees
TCS,3.9,(52.2k Reviews),Public,"Mumbai,Maharashtra + 274 more",55 years old,1 Lakh+ Employees (India)
Accenture,4.1,(33.2k Reviews),Public,Dublin + 131 more,34 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(30.6k Reviews),Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(34.5k Reviews),Public,"Mumbai,Maharashtra + 1065 more",29 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40.5k Reviews),Public,"Mumbai,Maharashtra + 1283 more",29 years old,50k-1 Lakh Employees (India)
Wipro,3.9,(29.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 228 more",78 years old,1 Lakh+ Employees (India)
Infosys,3.9,(29.2k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.7k Reviews),Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(22.2k Reviews),Public,"Pune,Maharashtra + 210 more",37 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(20k Reviews),Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(19.1k Reviews),Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
Amazon,4.2,(19.4k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(19.1k Reviews),Public,"Mumbai,Maharashtra + 1114 more",30 years old,50k-1 Lakh Employees (India)
Concentrix Corpo...,4.0,(15.4k Reviews),Public,"Fremont,California + 70 more",40 years old,10k-50k Employees (India)
IBM,4.2,(15.6k Reviews),Public,"Armonk,New York + 122 more",112 years old,50k-1 Lakh Employees (India)
Reliance jio,4.0,(15.1k Reviews),Public,"Navi Mumbai,Maharashtra + 1010 more",16 years old,50k-1 Lakh Employees (India)
Larsen & Toubro ...,4.1,(24.8k Reviews),Public,"Mumbai,Maharashtra + 532 more",77 years old,10k-50k Employees (India)
HDB Financial Se...,4.0,(13.7k Reviews),Private,"Ahmedabad,Gujrat + 806 more",16 years old,1 Lakh+ Employees (India)
Vodafone Idea,4.2,(13.4k Reviews),Public,"Gandhinagar,Gujrat + 573 more",5 years old,10k-50k Employees (India)
Teleperformance,3.6,(14.8k Reviews),Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
Reliance Retail,4.1,(17.3k Reviews),Private,"Navi Mumbai,Maharashtra + 721 more",17 years old,1 Lakh+ Employees (India)
Kotak Mahindra B...,3.9,(13.8k Reviews),Public,"Mumbai,Maharashtra + 479 more",20 years old,10k-50k Employees (India)
Deloitte,4.1,(10.6k Reviews),Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
Reliance Industr...,4.1,(45.8k Reviews),Public,"Navi Mumbai,Maharashtra + 508 more",50 years old,10k-50k Employees (India)
Bharti Airtel,4.1,(12.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 532 more",28 years old,10k-50k Employees (India)
BYJU'S,3.5,(13.7k Reviews),Private,"Bangalore,Karnataka + 261 more",12 years old,1k-5k Employees (India)
Tata Motors,4.1,(12.2k Reviews),Public,"Pune,Maharashtra + 391 more",78 years old,10k-50k Employees (India)
Flipkart,4.2,(12.3k Reviews),Public,"Bangalore,Karnataka + 455 more",16 years old,10k-50k Employees (India)
WNS,3.7,(7.1k Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
Mahindra & Mahin...,3.9,(40.1k Reviews),Public,"Mumbai,Maharashtra + 424 more",78 years old,1 Lakh+ Employees (India)
IndusInd Bank,3.8,(6.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 572 more",29 years old,10k-50k Employees (India)
Ernst & Young,3.8,(6.6k Reviews),Private,London + 74 more,21 years old,10k-50k Employees (India)
DXC Technology,3.9,(7.1k Reviews),Public,"Minato,Tokyo + 56 more",6 years old,10k-50k Employees (India)
Infosys BPM,3.9,(6k Reviews),"Bangalore/Bengaluru,Karnataka + 49 more",21 years old,10k-50k Employees (India),
Maruti Suzuki,4.2,(6k Reviews),Public,"New Delhi,Delhi + 374 more",40 years old,10k-50k Employees (India)
Hinduja Global S...,4.0,(6.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",23 years old,10k-50k Employees (India)
IDFC FIRST Bank,4.0,(5.5k Reviews),Public,"Mumbai,Maharashtra + 427 more",5 years old,10k-50k Employees (India)
Bajaj Finserv,4.0,(5.4k Reviews),Public,"Pune,Maharashtra + 692 more",16 years old,10k-50k Employees (India)
HSBC,4.1,(5.9k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
Ericsson,4.3,(5.5k Reviews),Private,"Stockholm,Stockholm County + 131 more",147 years old,10k-50k Employees (India)
Conneqt Business...,3.7,(5.2k Reviews),Private,"Mumbai,Maharashtra + 165 more",21 years old,10k-50k Employees (India)
Mphasis,3.7,(5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 38 more",25 years old,10k-50k Employees (India)
Startek,3.3,(4.9k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
Dr. Reddy's,4.2,(4.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 133 more",37 years old,10k-50k Employees (India)
Sutherland Globa...,3.8,(5.2k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
Cipla Pharmaceut...,4.1,(4.9k Reviews),Public,"Mumbai,Maharashtra + 188 more",88 years old,10k-50k Employees (India)
Yes Bank,4.0,(4.7k Reviews),Public,"Mumbai,Maharashtra + 369 more",19 years old,10k-50k Employees (India)
Udaan,4.0,(4.7k Reviews),Private,"Bangalore,Karnataka + 323 more",7 years old,1k-5k Employees (India)
Asian Paints,4.2,(4.8k Reviews),Public,"Mumbai,Maharashtra + 348 more",81 years old,10k-50k Employees (India)
Jana Small Finan...,3.9,(4.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 317 more",17 years old,10k-50k Employees (India)
HDFC Life,4.2,(4.5k Reviews),Public,"Mumbai,Maharashtra + 424 more",23 years old,10k-50k Employees (India)
NTT DATA,4.0,(4.7k Reviews),Private,"Chiyoda City,Tokyo + 42 more",35 years old,10k-50k Employees (India)
ICICI Prudential...,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 402 more",23 years old,10k-50k Employees (India)
iEnergizer,4.2,(4.3k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
PwC,3.7,(4.4k Reviews),Partnership,London + 65 more,25 years old,10k-50k Employees (India)
Lupin,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 132 more",55 years old,10k-50k Employees (India)
HCL Group,3.8,(24.9k Reviews),Chennai + 70 more,47 years old,50k-1 Lakh Employees (India),
EXL Service,3.9,(5.4k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
Indian Army,4.7,(4.1k Reviews),Public,"New Delhi,Delhi + 270 more",128 years old,1 Lakh+ Employees (India)
L&T Infotech,3.8,(4.1k Reviews),Public,"Mumbai,Maharashtra + 67 more",27 years old,10k-50k Employees (India)
UltraTech Cement,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 352 more",40 years old,10k-50k Employees (India)
Bajaj Finance,4.1,(4.5k Reviews),Private,"Pune,Maharashtra + 638 more",36 years old,10k-50k Employees (India)
KPMG,3.8,(4.1k Reviews),Partnership,Bengaluru/Bangalore + 63 more,36 years old,10k-50k Employees (India)
Paytm,3.7,(4.6k Reviews),Public,Noida + 238 more,13 years old,10k-50k Employees (India)
Home Credit Fina...,4.2,(3.9k Reviews),Private,Gurugram + 101 more,11 years old,5k-10k Employees (India)
Mindtree,4.1,(3.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",24 years old,10k-50k Employees (India)
Hindustan Unilev...,4.3,(4.5k Reviews),Public,"Mumbai,Maharashtra + 366 more",90 years old,10k-50k Employees (India)
ITC,3.9,(7.3k Reviews),Public,"Kolkata,West Bengal + 246 more",48 years old,5k-10k Employees (India)
Ujjivan Small Fi...,4.1,(3.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 379 more",6 years old,10k-50k Employees (India)
Bandhan Bank,3.9,(3.8k Reviews),Public,"Kolkata,West Bengal + 571 more",22 years old,50k-1 Lakh Employees (India)
IIFL,3.9,(3.7k Reviews),Public,"Mumbai,Maharashtra + 510 more",28 years old,1k-5k Employees (India)
JP Morgan Chase,4.2,(3.6k Reviews),Private,"New York,New York + 20 more",23 years old,10k-50k Employees (India)
OPPO,4.0,(3.8k Reviews),Public,"Dongguan,Guangdong + 329 more",19 years old,10k-50k Employees (India)
Wells Fargo Indi...,4.2,(3.6k Reviews),Public,"San Francisco,California + 12 more",171 years old,10k-50k Employees (India)
Delhivery,4.1,(4k Reviews),Private,"Delhi,NCT + 482 more",12 years old,10k-50k Employees (India)
Zydus Cadila,4.2,(4.7k Reviews),Public,"Ahmedabad, India + 118 more",71 years old,10k-50k Employees (India)
Shriram Transpor...,4.2,(3.9k Reviews),Public,"Mumbai,Maharashtra + 695 more",44 years old,10k-50k Employees (India)
Sun Pharmaceutic...,4.2,(4k Reviews),Public,Mumbai + 159 more,40 years old,10k-50k Employees (India)
Shapoorji Pallon...,4.3,(6.7k Reviews),Private,"Mumbai,Maharashtra + 139 more",158 years old,5k-10k Employees (India)
Aurobindo Pharma,4.0,(3.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",37 years old,10k-50k Employees (India)
Ashok Leyland,4.1,(3.5k Reviews),Public,"Chennai,Tamil Nadu + 189 more",75 years old,10k-50k Employees (India)
Vivo,4.1,(3.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 329 more",14 years old,5k-10k Employees (India)
Mahindra & Mahin...,4.2,(5k Reviews),Public,"Mumbai,Maharashtra + 571 more",32 years old,10k-50k Employees (India)
AU Small Finance...,4.0,(4.4k Reviews),Private,"Jaipur,Rajasthan + 303 more",27 years old,10k-50k Employees (India)
Siemens,4.2,(5k Reviews),Public,"Munich,Bavaria + 101 more",176 years old,5k-10k Employees (India)
Apollo Hospitals,4.0,(5.5k Reviews),Public,"San Francisco,California + 161 more",40 years old,50k-1 Lakh Employees (India)
Hexaware Technol...,3.7,(3.3k Reviews),Public,"Mumbai,Maharashtra + 31 more",33 years old,10k-50k Employees (India)
Max Life Insuran...,4.2,(3.2k Reviews),JV,"Gurgaon/Gurugram,Haryana + 309 more",23 years old,10k-50k Employees (India)
TATA Steel,4.1,(4.9k Reviews),Public,"Mumbai,Maharashtra + 122 more",116 years old,10k-50k Employees (India)
Hewlett-Packard ...,4.3,(3.5k Reviews),Private,"Houston,Texas + 85 more",8 years old,5k-10k Employees (India)
First Source,3.9,(3.2k Reviews),Public,"Mumbai,Maharashtra + 46 more",22 years old,10k-50k Employees (India)
eClerx,3.6,(3.2k Reviews),Public,"Mumbai,Maharashtra + 14 more",23 years old,10k-50k Employees (India)
Nokia,4.2,(4.6k Reviews),Private,"Espoo,Southern Finland + 169 more",158 years old,10k-50k Employees (India)
JSW Steel,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 97 more",41 years old,10k-50k Employees (India)
Quess,3.9,(9.4k Reviews),Public,Bangalore + 370 more,16 years old,1k-5k Employees (India)
Oracle,3.9,(4k Reviews),Public,"Austin,Texas + 34 more",46 years old,50k-1 Lakh Employees (India)
Tata Projects,4.2,(3.2k Reviews),Public,"Mumbai,Maharashtra + 206 more",44 years old,10k-50k Employees (India)
JLL,4.3,(3.1k Reviews),Private,"Mumbai,Maharashtra + 59 more",26 years old,5k-10k Employees (India)
Reliance Communi...,4.0,(3.8k Reviews),Public,"Navi Mumbai,Maharashtra + 373 more",21 years old,10k-50k Employees (India)
Intelenet Global...,3.7,(3.1k Reviews),Private,"Mumbai,Maharashtra + 55 more",23 years old,10k-50k Employees (India)
Hero MotoCorp,4.2,(3.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 270 more",39 years old,5k-10k Employees (India)
Future Group,4.2,(9.7k Reviews),Private,"Mumbai,Maharashtra + 199 more",10 years old,50k-1 Lakh Employees (India)
TVS Motor,4.1,(4.5k Reviews),Public,"Chennai,Tamil Nadu + 241 more",44 years old,10k-50k Employees (India)
JustDial,3.6,(3k Reviews),Public,"Mumbai,Maharashtra + 137 more",27 years old,10k-50k Employees (India)
Fidelity Nationa...,4.1,(3.2k Reviews),Private,"Jacksonville,Florida + 30 more",55 years old,5k-10k Employees (India)
Cyient,3.7,(3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 25 more",32 years old,10k-50k Employees (India)
Bajaj Allianz Li...,4.1,(3k Reviews),Private,Pune + 422 more,22 years old,10k-50k Employees (India)
Oyo Rooms,3.5,(3.1k Reviews),Private,"Gurgaon,Haryana + 105 more",10 years old,1k-5k Employees (India)
Hyundai Motor,4.2,(4k Reviews),Private,Seoul + 230 more,56 years old,10k-50k Employees (India)
Bosch,4.2,(6.4k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 84 more",137 years old,5k-10k Employees (India)
Megha Engineerin...,4.1,(2.8k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 212 more",34 years old,1k-5k Employees (India)
Wipro BPS,3.8,(2.8k Reviews),Bengaluru + 34 more,23 years old,1 Lakh+ Employees (India),
L&T Construction,4.2,(3.7k Reviews),Public,Chennai + 271 more,79 years old,10k-50k Employees (India)
Omega Healthcare,3.8,(2.8k Reviews),Private,Florida + 29 more,19 years old,5k-10k Employees (India)
D Mart,3.9,(2.8k Reviews),Private,"Mumbai,Maharashtra + 170 more",23 years old,10k-50k Employees (India)
Atos Syntel,3.7,(4.5k Reviews),Private,"Troy,Michigan + 14 more",43 years old,10k-50k Employees (India)
Manappuram Finan...,4.0,(3.4k Reviews),Public,"Thrissur/Trichur,Kerala + 408 more",74 years old,10k-50k Employees (India)
SBI Cards & Paym...,3.8,(2.7k Reviews),Government,"Gurgaon/Gurugram,Haryana + 254 more",25 years old,1k-5k Employees (India)
BNY Mellon,4.2,(2.6k Reviews),Private,"New York City,New York + 11 more",19 years old,5k-10k Employees (India)
Samsung,4.0,(7.5k Reviews),Public,Seoul + 355 more,85 years old,10k-50k Employees (India)
Cummins,4.3,(3.2k Reviews),"Columbus,Indiana + 84 more",61 years old,10k-50k Employees (India),
IQVIA,4.2,(2.7k Reviews),Partnership,Durham + 38 more,41 years old,10k-50k Employees (India)
Fullerton India,4.1,(2.6k Reviews),Private,Mumbai + 407 more,16 years old,10k-50k Employees (India)
BigBasket,4.1,(2.6k Reviews),Private,"Bangalore,Karnataka + 85 more",12 years old,10k-50k Employees (India)
Nagarro,4.5,(2.6k Reviews),Private,"Munich,Bavaria + 32 more",27 years old,10k-50k Employees (India)
Aditya Birla Fas...,4.2,(3.3k Reviews),Private,Mumbai + 203 more,8 years old,10k-50k Employees (India)
Amdocs,4.1,(2.5k Reviews),Private,"Chesterfield,Missouri + 10 more",41 years old,10k-50k Employees (India)
Viatris,4.3,(2.5k Reviews),"Canonsburg,Pennsylvania + 61 more",62 years old,10k-50k Employees (India),
CBRE,4.3,(2.5k Reviews),Private,"Los Angeles,California + 54 more",117 years old,5k-10k Employees (India)
Bosch Global Sof...,4.2,(2.5k Reviews),Private,Gerlingen + 21 more,33 years old,10k-50k Employees (India)
Indiamart Interm...,3.7,(2.6k Reviews),Private,"Noida,Uttar Pradesh + 111 more",27 years old,10k-50k Employees (India)
Godrej & Boyce M...,3.9,(5.1k Reviews),Private,"Mumbai,Maharashtra + 114 more",126 years old,10k-50k Employees (India)
Ecom Express,4.2,(2.4k Reviews),Private,"Gurgaon,Haryana + 506 more",11 years old,10k-50k Employees (India)
Schneider Electr...,4.2,(4k Reviews),Private,Paris + 88 more,24 years old,10k-50k Employees (India)
State Bank of In...,3.9,(5k Reviews),"Mumbai,Maharashtra + 377 more",217 years old,1 Lakh+ Employees (India),
UST,4.0,(2.5k Reviews),Private,"Aliso Viejo,California + 30 more",22 years old,10k-50k Employees (India)
JBM Group,4.0,(3.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 72 more",40 years old,10k-50k Employees (India)
ICICI Lombard Ge...,3.8,(2.4k Reviews),Public,"Mumbai,Maharashtra + 204 more",22 years old,5k-10k Employees (India)
Royal Enfield,4.2,(2.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 252 more",122 years old,1k-5k Employees (India)
Equitas Small Fi...,4.2,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 298 more",16 years old,10k-50k Employees (India)
Dell,4.2,(3.8k Reviews),Private,"Round Rock,Texas + 80 more",39 years old,10k-50k Employees (India)
Ford Motor,4.5,(2.9k Reviews),Public,"Dearborn,Michigan + 104 more",120 years old,5k-10k Employees (India)
Nagarjuna Constr...,4.1,(2.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 187 more",25 years old,1k-5k Employees (India)
Whitehat jr,3.7,(2.4k Reviews),Private,"Mumbai,Maharashtra + 46 more",5 years old,5k-10k Employees (India)
Bajaj Auto,4.0,(2.4k Reviews),Public,"Pune,Maharashtra + 207 more",78 years old,201-500 Employees (India)
Muthoot Finance,3.6,(2.4k Reviews),Public,"Kochi/Cochin,Kerala + 444 more",84 years old,10k-50k Employees (India)
Tata Communicati...,4.1,(3.2k Reviews),Public,"Mumbai,Maharashtra + 83 more",37 years old,5k-10k Employees (India)
UnitedHealth,4.2,(4.5k Reviews),Private,"Minnetonka,Minnesota + 12 more",46 years old,10k-50k Employees (India)
Muthoot Fincorp,4.0,(2.3k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 450 more",136 years old,10k-50k Employees (India)
GlobalLogic,3.9,(2.3k Reviews),Private,"San Jose,California + 24 more",23 years old,1k-5k Employees (India)
Cholamandalam In...,4.2,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 508 more",45 years old,5k-10k Employees (India)
John Deere,4.3,(2.6k Reviews),Private,"Moline,Illinois + 97 more",22 years old,1k-5k Employees (India)
Capgemini Techno...,4.1,(2.3k Reviews),Bengaluru/Bangalore + 24 more,,,
Dominos Pizza,4.1,(2.3k Reviews),Public,"Ypsilanti,Michigan + 209 more",63 years old,1k-5k Employees (India)
Virtusa Consulti...,3.8,(2.4k Reviews),Private,"Southborough,Massachusetts + 23 more",27 years old,10k-50k Employees (India)
SBI Life Insuran...,3.9,(2.3k Reviews),Government,"Mumbai,Maharashtra + 437 more",22 years old,10k-50k Employees (India)
L&T Financial Se...,4.0,(2.3k Reviews),Public,"Mumbai,Maharashtra + 400 more",29 years old,10k-50k Employees (India)
KEC Internationa...,4.1,(2.3k Reviews),Public,"Mumbai,Maharashtra + 213 more",78 years old,5k-10k Employees (India)
Wipro Consumer ...,3.9,(3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 76 more",78 years old,1k-5k Employees (India)
Swiggy,4.0,(2.5k Reviews),Private,"Bangalore,Karnataka + 141 more",9 years old,10k-50k Employees (India)
LG Electronics,4.0,(2.3k Reviews),Public,"Seoul,Seoul + 185 more",65 years old,10k-50k Employees (India)
Axis Direct,4.0,(2.3k Reviews),Private,"San Mateo,California + 261 more",12 years old,1k-5k Employees (India)
Motherson Sumi S...,3.9,(3.7k Reviews),Public,"Noida,Uttar Pradesh + 62 more",37 years old,5k-10k Employees (India)
Hetero Drugs,3.9,(2.6k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 32 more",30 years old,1k-5k Employees (India)
Sodexo,4.1,(2.3k Reviews),Private,Issy Les Moulineaux + 113 more,15 years old,201-500 Employees (India)
Wipro Infotech,4.0,(2.2k Reviews),Private,Bangalore + 113 more,78 years old,1 Lakh+ Employees (Global)
Thermax,4.2,(2.5k Reviews),Public,"Pune,Maharashtra + 133 more",43 years old,1k-5k Employees (India)
Optum,4.1,(2.2k Reviews),Private,Minnesota + 20 more,46 years old,10k-50k Employees (India)
Abbott Healthcar...,4.1,(4.2k Reviews),Public,"Illinois City,Illinois + 149 more",32 years old,10k-50k Employees (India)
Intas Pharmaceut...,4.3,(2.2k Reviews),Private,"Ahmedabad,Gujrat + 102 more",23 years old,10k-50k Employees (India)
Subros,4.0,(2.2k Reviews),Public,"Noida,Uttar Pradesh + 35 more",38 years old,1k-5k Employees (India)
Macleods Pharmac...,3.9,(2.1k Reviews),Public,"Mumbai,Maharashtra + 75 more",37 years old,5k-10k Employees (India)
Ekart Logistics,4.2,(2.1k Reviews),Private,"San Francisco,California + 434 more",14 years old,5k-10k Employees (India)
Automatic Data P...,4.2,(2.1k Reviews),New Jersey + 12 more,74 years old,5k-10k Employees (India),
Varun Beverages,4.0,(2.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 205 more",28 years old,10k-50k Employees (India)
VE Commercial Ve...,4.0,(2.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 104 more",15 years old,1k-5k Employees (India)
Piramal Capital ...,4.3,(2.1k Reviews),Mumbai + 246 more,3 years old,5k-10k Employees (India),
Hindustan Coca C...,4.4,(2.1k Reviews),Private,Bangalore + 175 more,26 years old,5k-10k Employees (India)
L&T Technology S...,3.4,(2.1k Reviews),Public,"Vadodara/Baroda,Gujarat + 25 more",11 years old,10k-50k Employees (India)
Bharat Electroni...,4.1,(2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 33 more",69 years old,5k-10k Employees (India)
Randstad,4.0,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 203 more",31 years old,1k-5k Employees (India)
Pidilite Industr...,4.3,(2.2k Reviews),Public,"Mumbai,Maharashtra + 191 more",64 years old,5k-10k Employees (India)
Indian Air Force,4.6,(2k Reviews),Private,"New Delhi,Delhi + 100 more",91 years old,1 Lakh+ Employees (India)
CARS24,3.7,(2k Reviews),Private,"Gurgaon,Haryana + 131 more",8 years old,5k-10k Employees (India)
CMS IT Services,3.1,(2k Reviews),Private,"Bangalore,Karnataka + 123 more",9 years old,5k-10k Employees (India)
Alembic Pharmace...,4.1,(2k Reviews),Public,"Vadodara/Baroda,Gujrat + 115 more",116 years old,10k-50k Employees (India)
Havells,4.2,(2.2k Reviews),Public,"Noida,Uttar Pradesh + 135 more",40 years old,5k-10k Employees (India)
American Express,4.4,(2k Reviews),Private,"New York City,New York + 35 more",173 years old,10k-50k Employees (India)
Cgi Group,4.1,(2k Reviews),Private,"Montreal,Quebec + 13 more",47 years old,10k-50k Employees (India)
Alkem Laboratori...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 122 more",50 years old,10k-50k Employees (India)
Glenmark Pharmac...,4.1,(2k Reviews),Public,"Mumbai,Maharashtra + 117 more",46 years old,501-1k Employees (India)
NatWest Group,4.1,(2.2k Reviews),Government,Gurgaon/Gurugram + 20 more,10k-50k Employees (India),
Gati kwe,4.1,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 147 more",11 years old,1k-5k Employees (India)
Deutsche Bank,4.2,(2.2k Reviews),Private,Frankfurt + 29 more,153 years old,1k-5k Employees (India)
ABB Group,4.1,(1.9k Reviews),Public,Zurich + 82 more,22 years old,10k-50k Employees (India)
Ipca Laboratorie...,4.0,(1.9k Reviews),Public,"Mumbai,Maharashtra + 96 more",74 years old,10k-50k Employees (India)
Atos,3.8,(7.1k Reviews),Private,"Vilnius,Vilniaus Apskritis + 30 more",26 years old,201-500 Employees (India)
Honda Motorcycle...,4.2,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 173 more",24 years old,1k-5k Employees (India)
Shoppers Stop,4.3,(1.9k Reviews),Public,"Mumbai,Maharashtra + 55 more",32 years old,5k-10k Employees (India)
DTDC Express,3.9,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 191 more",33 years old,1k-5k Employees (India)
DCB Bank,3.9,(1.9k Reviews),Private,"Mumbai,Maharashtra + 252 more",93 years old,5k-10k Employees (India)
Simplex Infrastr...,3.6,(2.1k Reviews),Public,"Kolkata,West Bengal + 122 more",99 years old,1k-5k Employees (India)
Reliance Nippon ...,3.9,(1.9k Reviews),Private,"Mumbai,Maharashtra + 389 more",23 years old,10k-50k Employees (India)
Hindalco Industr...,4.2,(2k Reviews),Public,"Mumbai,Maharashtra + 67 more",65 years old,10k-50k Employees (India)
Arvind Group,4.1,(2.3k Reviews),Public,"Ahmedabad,Gujrat + 121 more",92 years old,10k-50k Employees (India)
Conduent,3.6,(1.9k Reviews),Private,"Florham Park,New Jersey + 18 more",6 years old,5k-10k Employees (India)
McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 124 more",68 years old,5k-10k Employees (India)
24/7 Customer,3.6,(1.9k Reviews),Private,"San Jose,California + 21 more",23 years old,5k-10k Employees (India)
Suzlon Group,4.1,(1.9k Reviews),Public,"Pune,Maharashtra + 88 more",28 years old,5k-10k Employees (India)
Team Lease,4.0,(1.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 219 more",7 years old,1k-5k Employees (India)
Standard Charter...,4.0,(3.6k Reviews),Private,London + 56 more,54 years old,5k-10k Employees (India)
Wipro Enterprise...,3.9,(4.8k Reviews),Bangalore + 68 more,78 years old,1 Lakh+ Employees (India),
Muthoot Group,3.7,(4.7k Reviews),Public,"Wedel,Schleswig-holstein + 329 more",136 years old,1k-5k Employees (India)
Indian Oil Corpo...,4.4,(2.1k Reviews),Private,"Delhi/NCR,Delhi + 186 more",64 years old,10k-50k Employees (India)
Maersk,4.4,(2.3k Reviews),Private,Copenhagen + 24 more,119 years old,10k-50k Employees (India)
Vishal Mega Mart,3.8,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 264 more",15 years old,10k-50k Employees (India)
MRF Tyres,3.7,(2k Reviews),Public,"Chennai,Tamil Nadu + 149 more",77 years old,10k-50k Employees (India)
KocharTech,4.4,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 19 more",28 years old,1k-5k Employees (India)
Bank of America,4.4,(3k Reviews),Private,Charlotte + 22 more,25 years old,10k-50k Employees (India)
Publicis Sapien...,3.7,(1.9k Reviews),Private,"New York,New York + 14 more",33 years old,10k-50k Employees (India)
Escorts Kubota L...,4.1,(2k Reviews),Public,"Faridabad,Haryana + 104 more",63 years old,10k-50k Employees (India)
Bajaj Electrical...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 167 more",85 years old,1k-5k Employees (India)
Titan Company,4.4,(2.6k Reviews),Public,"Mumbai,Maharashtra + 125 more",5 years old,5k-10k Employees (India)
Ceat Tyres,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 93 more",65 years old,5k-10k Employees (India)
Lava Internation...,4.2,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 196 more",14 years old,1k-5k Employees (India)
Huawei Technolog...,3.9,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 89 more",21 years old,1k-5k Employees (India)
ITC Infotech In...,3.6,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 42 more",23 years old,5k-10k Employees (India)
Jindal Steel and...,4.0,(2.1k Reviews),Private,"Delhi/NCR,New Delhi + 85 more",71 years old,5k-10k Employees (India)
Tata AIA Life In...,4.0,(1.8k Reviews),Private,"Mumbai,Maharashtra + 220 more",22 years old,10k-50k Employees (India)
RSPL Group,4.1,(1.8k Reviews),Private,"Mumbai,Maharashtra + 148 more",36 years old,1k-5k Employees (India)
PNB MetLife,3.7,(1.8k Reviews),Private,"Mumbai,Maharashtra + 251 more",22 years old,5k-10k Employees (India)
Tractors and Far...,4.2,(1.8k Reviews),Public,"Chennai,Tamil Nadu + 143 more",63 years old,5k-10k Employees (India)
